PID,POT_PID,full_address,parcel_wkt,address_wkt
6003587,9979907,120 Tip Road Nubeena TAS 7184 Australia,"MULTIPOLYGON (((562070.9320000004 5227677.471, 562042.2460000014 5227596.621000001, 562018.5520000012 5227598.381999999, 561956.8650000009 5227649.114999999, 561924.589 5227661.876000001, 561910.326000001 5227667.515, 561917.3589999992 5227709.417999999, 561933.9050000012 5227807.999, 561983.1850000002 5227799.662, 561999.7129999996 5227796.866, 562120.3990000008 5227776.449999999, 562070.9320000004 5227677.471)), ((562434.1169999999 5227804.948999999, 562363.7460000009 5227465.697000001, 562341.4069999991 5227333.649, 561867.7289999992 5227413.95, 561898.5560000006 5227597.508, 561907.0189999993 5227647.664999999, 561946.4929999999 5227631.601, 562010.6999999991 5227578.794, 562056.067999999 5227575.421, 562086.9579999993 5227662.479000001, 562146.8320000004 5227688.324, 562230.2970000005 5227654.655, 562290.5729999993 5227816.138, 562371.4579999999 5227798.227999999, 562375.8059999997 5227817.861, 562434.1169999999 5227804.948999999)), ((562277.841 5227839.552999999, 562218.6730000002 5227681.035, 562146.5700000013 5227710.12, 562099.4380000005 5227689.775999999, 562141.0979999999 5227772.948, 562156.8960000005 5227866.332999999, 562277.841 5227839.552999999)))",POINT (562175.7369999997 5227592.5321)
7796291,0,2118 Lyell Highway Hayes TAS 7140 Australia,"MULTIPOLYGON (((500690.55499999865 5265917.823000001, 500777.28300000064 5265867.863, 500814.5050000007 5265837.239999999, 500848.4500000002 5265799.474000001, 500926.7300000008 5265711.802999999, 500974.95700000064 5265669.21, 501038.5530000009 5265624.311000001, 501103.81400000036 5265577.478, 501096.9960000005 5265567.672, 501059.4219999998 5265502.356000001, 501055.77300000074 5265476.809000001, 501052.86899999995 5265470.03, 501001.636000001 5265489.868999999, 500932.81599999976 5265506.3040000005, 500880.33299999917 5265508.496000001, 500841.49500000046 5265498.622, 500819.79400000034 5265498.277000001, 500801.6579999991 5265504.377, 500784.06400000094 5265518.824, 500761.91000000073 5265546.955999999, 500739.15300000063 5265580.671999999, 500697.97900000133 5265678.273, 500679.7590000001 5265736.556000001, 500668.48700000055 5265828.103999999, 500653.4439999992 5265899.6790000005, 500667.5060000005 5265897.144999999, 500671.6229999992 5265898.133000001, 500677.15200000023 5265900.737000001, 500678.67900000047 5265902.390000001, 500684.87999999966 5265915.464, 500686.32400000095 5265916.875000001, 500688.093999999 5265921.588000001, 500690.55499999865 5265917.823000001)), ((501166.8499999995 5265687.591999999, 501114.07999999914 5265592.917, 501080.9670000009 5265616.227999999, 501053.4910000011 5265637.485999999, 501027.8649999999 5265654.502999999, 501011.38300000003 5265664.531, 500999.9529999994 5265672.792, 500990.4569999995 5265680.988, 500979.57699999854 5265688.874, 500949.46300000115 5265715.236, 500936.7479999991 5265727.658, 500889.7020000003 5265779.367999999, 500878.84399999934 5265793.744999999, 500858.8700000007 5265814.526000001, 500841.4640000004 5265834.433000001, 500818.06900000083 5265858.637999999, 500810.77500000014 5265865.181000001, 500785.03400000103 5265883.291, 500758.8410000006 5265900.346999999, 500743.6210000012 5265908.258, 500719.65900000033 5265923.324000001, 500695.4759999993 5265951.002000001, 500677.88499999966 5265980.7, 500696.38500000024 5265969.629999999, 501166.8499999995 5265687.591999999)), ((501475.5249999997 5267008.210000001, 501573.8059999994 5266396.065999999, 501536.7860000003 5266513.403999999, 501524.424 5266607.716999999, 501476.5319999992 5266693.925000001, 501445.99300000095 5266896.619000001, 501459.1140000002 5266973.440999999, 501475.5249999997 5267008.210000001)), ((501449.4289999991 5266976.491, 501435.80399999954 5266896.718999999, 501466.8549999994 5266690.629000001, 501514.69900000084 5266604.508, 501526.9430000002 5266511.083000001, 501565.022 5266400.969, 501177.4280000011 5265706.479, 500705.6540000008 5265988.261000001, 500682.976999999 5266000.359, 500665.9829999998 5266009.416999999, 500660.59900000016 5266012.258000001, 500645.04800000123 5266022.228, 500651.1089999996 5266033.161000001, 500711.3370000012 5266141.031, 500921.81200000085 5266532.125, 501167.05299999926 5266947.102999999, 501204.43599999906 5267013.379, 501267.61600000085 5266977.983999999, 501274.6770000006 5266974.028000001, 501273.5190000003 5266997.556000001, 501273.26199999964 5267010.386999999, 501273.60400000133 5267016.803000001, 501274.97300000046 5267020.823, 501280.1050000001 5267025.699, 501287.76800000085 5267034.941, 501299.9859999985 5267044.792000001, 501309.83699999994 5267054.453000001, 501320.6600000013 5267070.212, 501324.11999999906 5267080.899, 501324.9949999992 5267083.619, 501326.96900000016 5267087.177000001, 501329.45000000007 5267090.607, 501333.3300000003 5267094.860999999, 501334.21999999986 5267095.495999999, 501339.5599999997 5267098.287, 501356.1449999986 5267103.948999999, 501472.684 5267025.906000001, 501449.4289999991 5266976.491)))",POINT (501122.28000000026 5266259.2523)
7716140,0,369 Memana Road Whitemark TAS 7255 Australia,"MULTIPOLYGON (((588120.4999999993 5563378.763, 587846.220999999 5563429.816, 587859.5740000006 5563501.364999999, 587940.1699999993 5563933.227999999, 588135.877000001 5563963.823000001, 588227.0150000007 5563964.304999999, 588120.4999999993 5563378.763)))",POINT (588037.4804999996 5563678.4051)
5475937,0,172 Mcguires Marsh Road Osterley TAS 7140 Australia,"MULTIPOLYGON (((480061.8530000008 5315883.726, 480050.3959999996 5315835.950999999, 480006.51200000115 5315652.975999999, 479995.6840000015 5315607.832, 479900.5359999996 5315211.108, 479587.3249999994 5315268.840000001, 479649.198 5315658.827, 479656.9600000003 5315707.587, 479680.5920000004 5315856.016000001, 479699.38399999915 5315974.044, 480000.0910000007 5315899.115999999, 480061.8530000008 5315883.726)))",POINT (479888.38210000005 5314645.2513)
6003587,9979908,120 Tip Road Nubeena TAS 7184 Australia,"MULTIPOLYGON (((562897.0780000006 5227809.661000001, 562815.6089999992 5227367.062, 562363.7460000009 5227465.697000001, 562434.1169999999 5227804.948999999, 562452.0499999991 5227897.228, 562454.2100000005 5227907.052000001, 562636.6060000006 5227868.072, 562897.0780000006 5227809.661000001)))",POINT (562175.7369999997 5227592.5321)
6490979,0,148 Holmes Road Roland TAS 7306 Australia,"MULTIPOLYGON (((435768.39899999957 5413997.234000001, 435814.8609999998 5413966.776999999, 435871.7549999992 5413973.622000001, 435806.6309999999 5413863.356000001, 435645.2060000012 5413962.632999999, 435657.14500000054 5413970.135000001, 435768.39899999957 5413997.234000001)), ((436229.78599999927 5414430.744, 436265.3619999994 5414310.218, 436105.51499999897 5414408.5370000005, 435859.5470000005 5413992.418, 435819.74900000065 5413987.629999999, 435772.1239999995 5414018.850000001, 435648.29899999883 5413988.687999999, 435628.1939999995 5413973.375, 435482.37299999973 5413742.436, 434997.0149999989 5414049.307000001, 435066.6209999996 5414153.748999999, 435271.2510000004 5414014.667999999, 435523.3190000009 5414389.697, 435754.3539999998 5414218.468, 435882.6409999995 5414411.255999999, 436003.1080000005 5414592.555000001, 435954.40499999956 5414627.424000001, 436020.74899999925 5414734.264999999, 436170.1150000001 5414976.555999999, 436367.6229999999 5414840.168999999, 436360.6799999989 5414829.917, 436386.5410000009 5414812.356000001, 436370.19600000116 5414752.015999999, 436298.93700000015 5414671.411, 436287.6659999993 5414633.465000001, 436261.2699999992 5414587.211999999, 436268.64299999934 5414518.652999999, 436251.0770000004 5414496.881000001, 436229.78599999927 5414430.744)))",POINT (435434.0262000002 5413972.2435)
9953455,9335292,1907 Woolnorth Road Woolnorth TAS 7330 Australia,"MULTIPOLYGON (((319361.1910000001 5485212.524, 319361.21300000005 5485212.504, 319525.45299999893 5485109.101, 319446.0700000001 5484655.193, 319361.8579999999 5484585, 319637.679 5484351.755000001, 320035.10799999983 5484529.148, 320111.06200000085 5484534.514000001, 320194.38700000005 5484540.400000001, 320483.2750000007 5484497.839000001, 320745.7090000006 5484533.614999999, 320799.8310000009 5484376.6389999995, 320851.5150000001 5484293.807000001, 321018.62799999974 5484401.789, 321114.79800000065 5484386.093999999, 321079.2370000001 5484021.96, 321026.38099999994 5483839.541000001, 321071.9589999999 5483634.44, 321128.8599999997 5483500.745999999, 321310.0649999997 5483452.248000001, 321390.0779999988 5483511.204000001, 321459.72700000054 5483419.407999999, 321331.8249999992 5483301.745999999, 321312.06599999894 5483285.406, 321290.69699999946 5483271.237999999, 321267.9550000011 5483259.397999999, 321244.0930000008 5483250.016999999, 321219.3769999993 5483243.200999999, 321194.0800000001 5483239.024, 321168.48400000005 5483237.533000001, 321142.8730000006 5483238.745, 320459.67299999966 5483307.305, 320391.5609999994 5483359.333999999, 320111.0889999991 5483462.241, 319921.6299999995 5483531.753, 319741.58699999936 5483562.405000001, 318610.61699999904 5483635.587, 318646.29600000044 5484229.040000001, 318956.80199999997 5484656.641999999, 318777.39400000067 5484732.426000001, 318840.9170000009 5484877.0819999995, 318922.76099999936 5484978.571000001, 318955.72000000055 5485136.755000001, 318989.47699999996 5485190.607, 319058.74300000083 5485186.208999999, 319330.0140000002 5485240.540999999, 319361.1910000001 5485212.524)))",POINT (308938.8037999999 5491289.0291)
7440826,0,89 Medeas Cove Road St Helens TAS 7216 Australia,"MULTIPOLYGON (((603200.1920000004 5423883.792, 603238.9839999996 5423636.958, 603032.610999999 5423671.313000001, 603088.3309999998 5423984.115, 603136.1300000004 5423976.267999999, 603147.9220000007 5423974.375, 603174.0420000011 5423971.274999999, 603184.0040000008 5423970.092000001, 603183.9579999989 5423931.44, 603183.9409999996 5423917.165, 603200.1920000004 5423883.792)), ((603713.9690000006 5423866.720999999, 603677.1760000009 5423674.573, 603654.7700000006 5423557.682, 603373.2110000004 5423610.139, 603375.2009999997 5423619.995000001, 603250.9580000008 5423644.825000001, 603247.3390000007 5423648.600000001, 603209.9950000002 5423886.2129999995, 603200.5049999997 5423914.065, 603457.7370000008 5423865.413, 603479.9689999995 5424003.12, 603731.0230000002 5423955.88, 603713.9690000006 5423866.720999999)))",POINT (603460.5395 5423944.7687)
7130393,0,161 Back Creek Road Pipers River TAS 7252 Australia,"MULTIPOLYGON (((506532.33999999904 5451510.500000001, 506426.81100000045 5451665.205999999, 506269.55499999935 5451688.83, 506170.43599999906 5451703.719999999, 506121.39500000037 5451712.329, 506120.3949999991 5451712.504999999, 506103.791000001 5451750.926999999, 506120.63999999885 5451836.653, 506110.7130000009 5451898.336000001, 506143.35900000064 5451976.847, 506111.84400000074 5452028.434, 506198.9650000001 5452195.312000001, 506602.67600000056 5452482.998, 506672.38899999997 5452120.1850000005, 506681.54600000125 5451942.102999999, 506675.3990000008 5451874.218000001, 506640.08100000024 5451715.65, 506624.04500000016 5451657.548000001, 506591.64700000104 5451562.898999999, 506574.32100000116 5451534.360000001, 506533.7420000003 5451511.387, 506532.33999999904 5451510.500000001)))",POINT (506424.3848000001 5451983.2715)
6428382,0,369 Memana Road Whitemark TAS 7255 Australia,"MULTIPOLYGON (((588678.4809999998 5563835.865000001, 588578.9610000005 5563293.428000001, 588120.4999999993 5563378.763, 588227.0150000007 5563964.304999999, 588290.3859999991 5563987.244, 588318.504999999 5563971.600000001, 588360.6510000004 5563927.792000001, 588409.0199999987 5563910.555, 588476.1179999991 5563916.769, 588526.0720000005 5563872.958999999, 588563.5229999997 5563851.084, 588619.7649999988 5563849.481000001, 588678.4809999998 5563835.865000001)))",POINT (588396.7745000003 5563622.9262)
