Address_raw,Price_raw,street,suburb,state,postcode,Price_numeric,full_address
"270 Bishopsbourne Road, CARRICK TAS 7291",Offers Over $1.25m,270 Bishopsbourne Road,Carrick,TAS,7291,1250000,270 Bishopsbourne Road Carrick TAS 7291 Australia
"151 Stanley Highway, STANLEY TAS 7331","Best Offer Over $1,250,000",151 Stanley Highway,Stanley,TAS,7331,NA,151 Stanley Highway Stanley TAS 7331 Australia
"1470 Birralee Road, BIRRALEE TAS 7303",Expressions of Interest,1470 Birralee Road,Birralee,TAS,7303,NA,1470 Birralee Road Birralee TAS 7303 Australia
"75 Coppermine Road, FRANKFORD TAS 7275","$925,000",75 Coppermine Road,Frankford,TAS,7275,NA,75 Coppermine Road Frankford TAS 7275 Australia
"1289 Bridgenorth Road, ROSEVALE TAS 7292",Expressions of Interest,1289 Bridgenorth Road,Rosevale,TAS,7292,NA,1289 Bridgenorth Road Rosevale TAS 7292 Australia
". Meunna Road, MEUNNA TAS 7325","$180,000",. Meunna Road,Meunna,TAS,7325,NA,. Meunna Road Meunna TAS 7325 Australia
"128 Long Plains Road, EXETER TAS 7275","Offers Over $1,395,000",128 Long Plains Road,Exeter,TAS,7275,NA,128 Long Plains Road Exeter TAS 7275 Australia
"418 Back Line Road, FOREST TAS 7330","Expressions Of Interest, Closing Tue 14th October",418 Back Line Road,Forest,TAS,7330,NA,418 Back Line Road Forest TAS 7330 Australia
"Lot 1 Martha Lavinia Road, EGG LAGOON TAS 7256","Offers Over $1,550,000",Lot 1 Martha Lavinia Road,Egg Lagoon,TAS,7256,NA,Lot 1 Martha Lavinia Road Egg Lagoon TAS 7256 Australia
"123a Wellington Street, LONGFORD TAS 7301",EOI Closing 22nd September at 4pm,123a Wellington Street,Longford,TAS,7301,NA,123a Wellington Street Longford TAS 7301 Australia
"296a Long Plains Road, EXETER TAS 7275","Offers Over $1,250,000",296a Long Plains Road,Exeter,TAS,7275,NA,296a Long Plains Road Exeter TAS 7275 Australia
"401 Bresnehans Road, LITTLE SWANPORT TAS 7190","Offers Over $619,000",401 Bresnehans Road,Little Swanport,TAS,7190,NA,401 Bresnehans Road Little Swanport TAS 7190 Australia
"860 Tor Hill Road, OUSE TAS 7140",Expressions of Interest by 26th September 2025,860 Tor Hill Road,Ouse,TAS,7140,NA,860 Tor Hill Road Ouse TAS 7140 Australia
"89 Medeas Cove Road, ST HELENS TAS 7216","Offers Over $1,350,000",89 Medeas Cove Road,St Helens,TAS,7216,NA,89 Medeas Cove Road St Helens TAS 7216 Australia
"299 Natone Road, STOWPORT TAS 7321",Please Contact the Agent,299 Natone Road,Stowport,TAS,7321,NA,299 Natone Road Stowport TAS 7321 Australia
"301 Moriarty Road, MORIARTY TAS 7307","Offers Over $799,000",301 Moriarty Road,Moriarty,TAS,7307,NA,301 Moriarty Road Moriarty TAS 7307 Australia
"1907 Woolnorth Road, WOOLNORTH TAS 7330",Expressions of Interest,1907 Woolnorth Road,Woolnorth,TAS,7330,NA,1907 Woolnorth Road Woolnorth TAS 7330 Australia
"40 Davies Road, PARKHAM TAS 7304",Expressions of Interest by 30th September 2025,40 Davies Road,Parkham,TAS,7304,NA,40 Davies Road Parkham TAS 7304 Australia
"771 Prossers Road, UNDERWOOD TAS 7268","Offers Over $799,000.00",771 Prossers Road,Underwood,TAS,7268,NA,771 Prossers Road Underwood TAS 7268 Australia
"67 Myrtle Grove Road, WILTSHIRE TAS 7321",Expressions of Interest,67 Myrtle Grove Road,Wiltshire,TAS,7321,NA,67 Myrtle Grove Road Wiltshire TAS 7321 Australia
"1980 Lyell Highway, HAYES TAS 7140","Offers over $1,950,000",1980 Lyell Highway,Hayes,TAS,7140,NA,1980 Lyell Highway Hayes TAS 7140 Australia
". Frankford Road, HARFORD TAS 7307",Expression of Interest,. Frankford Road,Harford,TAS,7307,NA,. Frankford Road Harford TAS 7307 Australia
"16463 Bass Highway, WYNYARD TAS 7325",Expression of Interest,16463 Bass Highway,Wynyard,TAS,7325,NA,16463 Bass Highway Wynyard TAS 7325 Australia
"3340 Lake Leake Road, LAKE LEAKE TAS 7210",Contact Agent,3340 Lake Leake Road,Lake Leake,TAS,7210,NA,3340 Lake Leake Road Lake Leake TAS 7210 Australia
"1089 Trowutta Road, EDITH CREEK TAS 7330","Best Offer Over $990,000",1089 Trowutta Road,Edith Creek,TAS,7330,NA,1089 Trowutta Road Edith Creek TAS 7330 Australia
