Address_raw,Price_raw,street,suburb,state,postcode,Price_numeric,full_address,latitude,longitude
"401 Bresnehans Road, LITTLE SWANPORT TAS 7190","Offers Over $619,000",401 Bresnehans Road,Little Swanport,TAS,7190,NA,401 Bresnehans Road Little Swanport TAS 7190 Australia,-42.3179281,147.9330656
"111 Nubeena Road, TARANNA TAS 7180","$1,295,000",111 Nubeena Road,Taranna,TAS,7180,NA,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
"120 Russells Plains Road, ROCHERLEA TAS 7248","$550,000",120 Russells Plains Road,Rocherlea,TAS,7248,NA,120 Russells Plains Road Rocherlea TAS 7248 Australia,-41.3815669,147.157962
"19 Central Castra Road, SPRENT TAS 7315",Offers Over $875k,19 Central Castra Road,Sprent,TAS,7315,875000,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
"172 Bridgenorth Road, LEGANA TAS 7277",Expressions Of Interest,172 Bridgenorth Road,Legana,TAS,7277,NA,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
"78 Cethana Road, CETHANA TAS 7306","$950,000",78 Cethana Road,Cethana,TAS,7306,NA,78 Cethana Road Cethana TAS 7306 Australia,-41.4686622,146.1437818
"1980 Lyell Highway, HAYES TAS 7140","Offers over $1,950,000",1980 Lyell Highway,Hayes,TAS,7140,NA,1980 Lyell Highway Hayes TAS 7140 Australia,-42.7624292,147.0139634
"120 Tip Road, NUBEENA TAS 7184","Offers Around $598,000",120 Tip Road,Nubeena,TAS,7184,NA,120 Tip Road Nubeena TAS 7184 Australia,-43.098367,147.7556929
"3 Stevenson Road, LOWER BARRINGTON TAS 7306","$847,000",3 Stevenson Road,Lower Barrington,TAS,7306,NA,3 Stevenson Road Lower Barrington TAS 7306 Australia,-41.2877202,146.3086808
"121 Saunders Drive, HADSPEN TAS 7290",Offers Over $1.695 Million,121 Saunders Drive,Hadspen,TAS,7290,1695000,121 Saunders Drive Hadspen TAS 7290 Australia,-41.5057565,147.0785763
"101 Pateena Road, TRAVELLERS REST TAS 7250",Contact Agent,101 Pateena Road,Travellers Rest,TAS,7250,NA,101 Pateena Road Travellers Rest TAS 7250 Australia,-41.4994418,147.0987821
"85 Bramich Road, ACACIA HILLS TAS 7306","$890,000",85 Bramich Road,Acacia Hills,TAS,7306,NA,85 Bramich Road Acacia Hills TAS 7306 Australia,-41.3031347,146.3345679
"1 Barnard Drive, BICHENO TAS 7215","O/O $1,250,000",1 Barnard Drive,Bicheno,TAS,7215,NA,1 Barnard Drive Bicheno TAS 7215 Australia,-41.8430573,148.2488157
"75 Coppermine Road, FRANKFORD TAS 7275","Offers Over $950,000",75 Coppermine Road,Frankford,TAS,7275,NA,75 Coppermine Road Frankford TAS 7275 Australia,-41.2986624,146.7544181
"2156 Huon Road, LOWER LONGLEY TAS 7109",Offers Over $1.7 Million,2156 Huon Road,Lower Longley,TAS,7109,1700000,2156 Huon Road Lower Longley TAS 7109 Australia,-42.9717568,147.1727961
"152 Whitsitts Road, WYNYARD TAS 7325","Offers Over $1,800,000",152 Whitsitts Road,Wynyard,TAS,7325,NA,152 Whitsitts Road Wynyard TAS 7325 Australia,-41.0203079,145.7240586
"89 Medeas Cove Road, ST HELENS TAS 7216","Offers Over $1,350,000",89 Medeas Cove Road,St Helens,TAS,7216,NA,89 Medeas Cove Road St Helens TAS 7216 Australia,-41.3268154,148.2246568
"423 Slab Road, CYGNET TAS 7112","Offers Over $2,180,000",423 Slab Road,Cygnet,TAS,7112,NA,423 Slab Road Cygnet TAS 7112 Australia,-43.1189765,147.0744431
"149 Cloudy Bay Road, LUNAWANNA TAS 7150","$780,000 +",149 Cloudy Bay Road,Lunawanna,TAS,7150,NA,149 Cloudy Bay Road Lunawanna TAS 7150 Australia,-43.3722137,147.2417698
"771 Prossers Road, UNDERWOOD TAS 7268","Offers Over $799,000.00",771 Prossers Road,Underwood,TAS,7268,NA,771 Prossers Road Underwood TAS 7268 Australia,-41.3349584,147.1891535
